ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,hash_key
10257,1025702,30257,13487,1348702,31650,"[10257.0, 1025702.0, 30257.0, 13487.0, 1348702.0, 31650.0]"
10279,1027903,30279,11292,1129202,30325,"[10279.0, 1027903.0, 30279.0, 11292.0, 1129202.0, 30325.0]"
10397,1039707,30397,11537,1153706,31537,"[10397.0, 1039707.0, 30397.0, 11537.0, 1153706.0, 31537.0]"
10397,1039707,30397,13184,1318403,33184,"[10397.0, 1039707.0, 30397.0, 13184.0, 1318403.0, 33184.0]"
10431,1043105,30431,11292,1129202,30325,"[10431.0, 1043105.0, 30431.0, 11292.0, 1129202.0, 30325.0]"
10599,1059904,30599,11697,1169706,32467,"[10599.0, 1059904.0, 30599.0, 11697.0, 1169706.0, 32467.0]"
10693,1069302,30693,10800,1080003,32575,"[10693.0, 1069302.0, 30693.0, 10800.0, 1080003.0, 32575.0]"
10781,1078105,30781,11278,1127805,30852,"[10781.0, 1078105.0, 30781.0, 11278.0, 1127805.0, 30852.0]"
10800,1080003,32575,10693,1069302,30693,"[10800.0, 1080003.0, 32575.0, 10693.0, 1069302.0, 30693.0]"
11042,1104205,30647,11259,1125904,30194,"[11042.0, 1104205.0, 30647.0, 11259.0, 1125904.0, 30194.0]"
11097,1109702,31097,11292,1129202,30325,"[11097.0, 1109702.0, 31097.0, 11292.0, 1129202.0, 30325.0]"
11140,1114008,31140,11259,1125904,30194,"[11140.0, 1114008.0, 31140.0, 11259.0, 1125904.0, 30194.0]"
11259,1125904,30194,11140,1114008,31140,"[11259.0, 1125904.0, 30194.0, 11140.0, 1114008.0, 31140.0]"
11259,1125904,30194,11042,1104205,30647,"[11259.0, 1125904.0, 30194.0, 11042.0, 1104205.0, 30647.0]"
11259,1125904,30194,12206,1220605,32206,"[11259.0, 1125904.0, 30194.0, 12206.0, 1220605.0, 32206.0]"
11278,1127805,30852,10781,1078105,30781,"[11278.0, 1127805.0, 30852.0, 10781.0, 1078105.0, 30781.0]"
11292,1129202,30325,10431,1043105,30431,"[11292.0, 1129202.0, 30325.0, 10431.0, 1043105.0, 30431.0]"
11292,1129202,30325,10279,1027903,30279,"[11292.0, 1129202.0, 30325.0, 10279.0, 1027903.0, 30279.0]"
11337,1133705,31337,13029,1302902,33029,"[11337.0, 1133705.0, 31337.0, 13029.0, 1302902.0, 33029.0]"
11503,1150305,31503,12953,1295304,31703,"[11503.0, 1150305.0, 31503.0, 12953.0, 1295304.0, 31703.0]"
11503,1150305,31503,14100,1410005,34100,"[11503.0, 1150305.0, 31503.0, 14100.0, 1410005.0, 34100.0]"
11540,1154005,30615,14831,1483106,32457,"[11540.0, 1154005.0, 30615.0, 14831.0, 1483106.0, 32457.0]"
11637,1163703,31637,12343,1234305,32343,"[11637.0, 1163703.0, 31637.0, 12343.0, 1234305.0, 32343.0]"
11648,1164802,31648,14908,1490803,32575,"[11648.0, 1164802.0, 31648.0, 14908.0, 1490803.0, 32575.0]"
11697,1169706,32467,10599,1059904,30599,"[11697.0, 1169706.0, 32467.0, 10599.0, 1059904.0, 30599.0]"
11898,1189802,31898,10627,1062702,30627,"[11898.0, 1189802.0, 31898.0, 10627.0, 1062702.0, 30627.0]"
11921,1192102,31921,13487,1348702,31650,"[11921.0, 1192102.0, 31921.0, 13487.0, 1348702.0, 31650.0]"
11921,1192102,31921,10397,1039707,30397,"[11921.0, 1192102.0, 31921.0, 10397.0, 1039707.0, 30397.0]"
12191,1219102,31453,14893,1489302,33192,"[12191.0, 1219102.0, 31453.0, 14893.0, 1489302.0, 33192.0]"
12206,1220605,32206,11259,1125904,30194,"[12206.0, 1220605.0, 32206.0, 11259.0, 1125904.0, 30194.0]"
12264,1226402,30852,14574,1457405,34574,"[12264.0, 1226402.0, 30852.0, 14574.0, 1457405.0, 34574.0]"
12264,1226402,30852,12945,1294503,32945,"[12264.0, 1226402.0, 30852.0, 12945.0, 1294503.0, 32945.0]"
12264,1226402,30852,14524,1452401,34524,"[12264.0, 1226402.0, 30852.0, 14524.0, 1452401.0, 34524.0]"
12264,1226402,30852,13230,1323002,32070,"[12264.0, 1226402.0, 30852.0, 13230.0, 1323002.0, 32070.0]"
12278,1227805,30928,10408,1040805,30408,"[12278.0, 1227805.0, 30928.0, 10408.0, 1040805.0, 30408.0]"
12441,1244102,32441,12953,1295304,31703,"[12441.0, 1244102.0, 32441.0, 12953.0, 1295304.0, 31703.0]"
12892,1289208,32575,13486,1348602,33486,"[12892.0, 1289208.0, 32575.0, 13486.0, 1348602.0, 33486.0]"
12945,1294503,32945,13487,1348702,31650,"[12945.0, 1294503.0, 32945.0, 13487.0, 1348702.0, 31650.0]"
12953,1295304,31703,12441,1244102,32441,"[12953.0, 1295304.0, 31703.0, 12441.0, 1244102.0, 32441.0]"
12953,1295304,31703,11503,1150305,31503,"[12953.0, 1295304.0, 31703.0, 11503.0, 1150305.0, 31503.0]"
12953,1295304,31703,13502,1350202,33502,"[12953.0, 1295304.0, 31703.0, 13502.0, 1350202.0, 33502.0]"
13230,1323002,32070,12264,1226402,30852,"[13230.0, 1323002.0, 32070.0, 12264.0, 1226402.0, 30852.0]"
13264,1326403,33264,14747,1474703,30559,"[13264.0, 1326403.0, 33264.0, 14747.0, 1474703.0, 30559.0]"
13303,1330303,32467,14831,1483106,32457,"[13303.0, 1330303.0, 32467.0, 14831.0, 1483106.0, 32457.0]"
13342,1334207,33342,13459,1345903,33459,"[13342.0, 1334207.0, 33342.0, 13459.0, 1345903.0, 33459.0]"
13486,1348602,33486,12892,1289208,32575,"[13486.0, 1348602.0, 33486.0, 12892.0, 1289208.0, 32575.0]"
13487,1348702,31650,10257,1025702,30257,"[13487.0, 1348702.0, 31650.0, 10257.0, 1025702.0, 30257.0]"
13487,1348702,31650,12217,1221702,30255,"[13487.0, 1348702.0, 31650.0, 12217.0, 1221702.0, 30255.0]"
13487,1348702,31650,10140,1014005,30140,"[13487.0, 1348702.0, 31650.0, 10140.0, 1014005.0, 30140.0]"
13495,1349505,33495,14122,1412202,30198,"[13495.0, 1349505.0, 33495.0, 14122.0, 1412202.0, 30198.0]"
13495,1349505,33495,14831,1483106,32457,"[13495.0, 1349505.0, 33495.0, 14831.0, 1483106.0, 32457.0]"
13502,1350202,33502,12953,1295304,31703,"[13502.0, 1350202.0, 33502.0, 12953.0, 1295304.0, 31703.0]"
13796,1379608,32457,15376,1537604,30436,"[13796.0, 1379608.0, 32457.0, 15376.0, 1537604.0, 30436.0]"
13796,1379608,32457,14262,1426204,34262,"[13796.0, 1379608.0, 32457.0, 14262.0, 1426204.0, 34262.0]"
13930,1393007,30977,14457,1445702,34457,"[13930.0, 1393007.0, 30977.0, 14457.0, 1445702.0, 34457.0]"
14100,1410005,34100,11503,1150305,31503,"[14100.0, 1410005.0, 34100.0, 11503.0, 1150305.0, 31503.0]"
14122,1412202,30198,13495,1349505,33495,"[14122.0, 1412202.0, 30198.0, 13495.0, 1349505.0, 33495.0]"
14321,1432105,34321,12264,1226402,30852,"[14321.0, 1432105.0, 34321.0, 12264.0, 1226402.0, 30852.0]"
14574,1457405,34574,12264,1226402,30852,"[14574.0, 1457405.0, 34574.0, 12264.0, 1226402.0, 30852.0]"
14633,1463303,32547,11637,1163703,31637,"[14633.0, 1463303.0, 32547.0, 11637.0, 1163703.0, 31637.0]"
14685,1468502,34685,10431,1043105,30431,"[14685.0, 1468502.0, 34685.0, 10431.0, 1043105.0, 30431.0]"
14747,1474703,30559,13264,1326403,33264,"[14747.0, 1474703.0, 30559.0, 13264.0, 1326403.0, 33264.0]"
14831,1483106,32457,11697,1169706,32467,"[14831.0, 1483106.0, 32457.0, 11697.0, 1169706.0, 32467.0]"
14831,1483106,32457,14262,1426204,34262,"[14831.0, 1483106.0, 32457.0, 14262.0, 1426204.0, 34262.0]"
14831,1483106,32457,11540,1154005,30615,"[14831.0, 1483106.0, 32457.0, 11540.0, 1154005.0, 30615.0]"
14831,1483106,32457,13495,1349505,33495,"[14831.0, 1483106.0, 32457.0, 13495.0, 1349505.0, 33495.0]"
14893,1489302,33192,12191,1219102,31453,"[14893.0, 1489302.0, 33192.0, 12191.0, 1219102.0, 31453.0]"
15024,1502403,34945,10721,1072102,30721,"[15024.0, 1502403.0, 34945.0, 10721.0, 1072102.0, 30721.0]"
15295,1529502,35165,11057,1105703,31057,"[15295.0, 1529502.0, 35165.0, 11057.0, 1105703.0, 31057.0]"
15376,1537604,30436,13796,1379608,32457,"[15376.0, 1537604.0, 30436.0, 13796.0, 1379608.0, 32457.0]"
